key,ko,en
facility.watchtower_3.desc,적 구성 상세 공개,Reveals enemy composition
research.trade_route.name,교역로 개척,Trade Route
research.loot_appraise.name,전리품 감정,Loot Appraisal
research.efficient_build.name,효율적 건설,Efficient Building
research.morale_mgmt.name,사기 관리,Morale Management
research.sin_study.name,죄종 이해,Sin Study
research.bonding.name,결속 의식,Bonding Ritual
research.trade_route.desc,시장 수입 +50%,Market income +50%
research.loot_appraise.desc,원정 골드 보상 +30%,Expedition gold reward +30%
research.efficient_build.desc,건설 비용 -20%,Build cost -20%
research.morale_mgmt.desc,사기 변동폭 -30%,Morale swing -30%
research.sin_study.desc,폭주 임계 105로 상향,Rampage threshold raised to 105
research.bonding.desc,죄종 만족 시 사기 상승량 +50%,Sin-satisfaction morale gain +50%
chapter.wrath.name,분노,Wrath
chapter.envy.name,시기,Envy
chapter.greed.name,탐욕,Greed
chapter.sloth.name,나태,Sloth
chapter.gluttony.name,폭식,Gluttony
chapter.lust.name,색욕,Lust
chapter.pride.name,교만,Pride
chapter.wrath.region,불타는 전장,Burning Battlefield
chapter.envy.region,뒤틀린 숲,Twisted Forest
chapter.greed.region,황금의 사막,Golden Desert
chapter.sloth.region,망각의 동토,Frozen Wastes of Oblivion
chapter.gluttony.region,심연의 동굴,Abyssal Cave
chapter.lust.region,타락한 궁전,Corrupted Palace
chapter.pride.region,신의 폐허,Ruins of God
chapter.wrath.boss,사탄,Satan
chapter.envy.boss,레비아탄,Leviathan
chapter.greed.boss,맘몬,Mammon
chapter.sloth.boss,벨페고르,Belphegor
chapter.gluttony.boss,바알제붑,Beelzebub
chapter.lust.boss,아스모데우스,Asmodeus
chapter.pride.boss,루시퍼,Lucifer
chapter.wrath.env_desc,"분노가 뒤덮은 전장. 분노 영웅은 고양되고, 나태 영웅은 위축된다.","A battlefield shrouded in wrath. Wrathful heroes are exalted; slothful ones shrink."
chapter.envy.env_desc,시기가 스며든 숲. 모든 것이 비교된다.,A forest steeped in envy. Everything is compared.
chapter.greed.env_desc,탐욕이 지배하는 사막. 모든 것에 값이 매겨진다.,A desert ruled by greed. Everything has a price.
chapter.sloth.env_desc,나태가 뒤덮은 동토. 모든 것이 느려진다.,Frozen wastes drowned in sloth. Everything slows.
chapter.gluttony.env_desc,폭식이 지배하는 동굴. 끝없는 허기가 퍼진다.,A cave ruled by gluttony. Endless hunger spreads.
chapter.lust.env_desc,색욕이 스며든 궁전. 집착과 욕망이 교차한다.,"A palace soaked in lust. Obsession and desire intertwine."
chapter.pride.env_desc,교만이 지배하는 폐허. 신조차 무릎 꿇은 곳.,Ruins ruled by pride. Even gods knelt here.
chapter.wrath.boss_briefing,사탄 — 분노의 화신. 모든 것을 불태우는 자. 그의 분노 앞에서 살아남을 수 있겠는가?,Satan — the avatar of Wrath. He who burns all. Can you survive his rage?
chapter.envy.boss_briefing,"레비아탄 — 시기의 화신. 가지지 못한 것을 갈망하고, 가진 자를 파괴하는 자.","Leviathan — the avatar of Envy. He who craves what he lacks and destroys those who possess."
chapter.greed.boss_briefing,맘몬 — 탐욕의 화신. 세상의 모든 것을 소유하려는 자.,Mammon — the avatar of Greed. He who would own all the world.
chapter.sloth.boss_briefing,벨페고르 — 나태의 화신. 아무것도 하지 않는 것이 그의 힘이다.,Belphegor — the avatar of Sloth. Doing nothing is his power.
chapter.gluttony.boss_briefing,"바알제붑 — 폭식의 화신. 삼키고, 삼키고, 또 삼키는 자.","Beelzebub — the avatar of Gluttony. Swallowing, and swallowing, and swallowing again."
chapter.lust.boss_briefing,"아스모데우스 — 색욕의 화신. 모든 것을 유혹하고, 소유하려는 자.","Asmodeus — the avatar of Lust. He who seduces all and claims them."
chapter.pride.boss_briefing,루시퍼 — 교만의 화신. 신에게 반역한 최초의 천사. 가장 강한 자.,Lucifer — the avatar of Pride. The first angel to rebel against God. The strongest.
chapter.wrath.boss_dying,"""분노란... 결국 무력함의 다른 이름이었다.""","""Wrath... was just another name for powerlessness."""
chapter.envy.boss_dying,"""결국... 네가 가진 것이 부러웠을 뿐이다.""","""In the end... I was just envious of what you had."""
chapter.greed.boss_dying,"""더... 더 많이... 아직 부족해...""","""More... more... still not enough..."""
chapter.sloth.boss_dying,"""움직이는 건... 피곤한 일이었다.""","""Moving... was always so tiring."""
chapter.gluttony.boss_dying,"""배가... 아직도 고프다...""","""I'm still... hungry..."""
chapter.lust.boss_dying,"""사랑한다고... 말해줘...""","""Tell me... you love me..."""
chapter.pride.boss_dying,"""나는... 틀리지 않았다.""","""I was... not wrong."""
edict.wrath.name,강병령,Edict of the Strong
edict.gluttony.name,풍요령,Edict of Plenty
edict.greed.name,축재령,Edict of Accumulation
edict.sloth.name,안식령,Edict of Rest
edict.envy.name,경쟁령,Edict of Rivalry
edict.lust.name,열정령,Edict of Passion
edict.pride.name,위광령,Edict of Majesty
edict.wrath.desc,전투력 +15% / 매턴 사기 -2,Battle power +15% / Morale -2 per turn
edict.gluttony.desc,매턴 사기 +3 / 식량 소모 +30%,Morale +3 per turn / Food consumption +30%
edict.greed.desc,자원 획득 +20% / 매턴 사기 -3,Resource gain +20% / Morale -3 per turn
edict.sloth.desc,건설/연구 +20% / 전투력 -10%,Build/Research +20% / Battle power -10%
edict.envy.desc,영웅 경험치 +25% / 갈등 증가(미구현),Hero XP +25% / Conflict rising (TBD)
edict.lust.desc,사기 변동폭 ×1.3(미구현),Morale swing ×1.3 (TBD)
edict.pride.desc,Lv5+ 영웅 능력 +10% / 저렙 사기 -3(미구현),Lv5+ hero power +10% / Low-level morale -3 (TBD)
phase.morning.name,아침,Morning
phase.day.name,낮,Day
phase.evening.name,저녁,Evening
phase.night.name,밤,Night
phase.morning.desc,소식 & 이벤트 — 판결의 시간,News & events — time of judgment
phase.day.desc,거점 운영 & 원정 파견,Base operations & expedition dispatch
phase.evening.desc,원정 결과 & 습격 정보,Expedition results & raid intel
phase.night.desc,적 습격 & 결산,Enemy raid & settlement
hunt.wolf.name,들늑대,Wild Wolf
hunt.boar.name,야생 멧돼지,Wild Boar
hunt.spider.name,독거미,Venomous Spider
hunt.bat.name,어둠 박쥐,Dark Bat
hunt.bear.name,변이 곰,Mutated Bear
stage.ch1_s1.name,불타는 전초기지,Burning Outpost
stage.ch1_s2.name,재의 계곡,Valley of Ashes
stage.ch1_s3.name,용암의 성채,Lava Citadel
stage.ch1_boss.name,사탄의 왕좌,Satan's Throne
enemy.wrath_grunt.name,분노의 졸개,Wrath Grunt
enemy.flame_hound.name,화염 사냥개,Flame Hound
enemy.wrath_warrior.name,분노의 전사,Wrath Warrior
enemy.flame_mage.name,화염 마법사,Flame Mage
enemy.wrath_guard.name,분노의 근위병,Wrath Guard
enemy.flame_elite.name,화염의 정예,Flame Elite
enemy.fire_hound.name,불꽃 사냥개,Fire Hound
enemy.satan_boss.name,사탄 — 분노의 화신,Satan — Avatar of Wrath
relation.create.desc,강한 시너지 — 앞의 죄가 뒤의 죄를 직접 낳음,Strong synergy — the former sin directly spawns the latter
relation.amplify.desc,시너지 — 합치면 더 위험,Synergy — more dangerous combined
relation.oppose.desc,갈등 — 표면적 모순,Conflict — surface contradiction
relation.neutral.desc,직접적 관계 없음,No direct relation
relation.require.desc,강한 시너지,Strong synergy
desertion.wrath.desc,폭력적 탈영 — 전체 사기 하락,Violent desertion — all morale drops
desertion.greed.desc,창고 털고 도주,Robs the vault and flees
desertion.lust.desc,다른 영웅 꼬여서 함께 떠남,Lures another hero to leave together
desertion.envy.desc,사보타주 후 이탈,Sabotages and leaves
desertion.sloth.desc,조용히 사라짐,Silently disappears
desertion.gluttony.desc,보급품 갖고 이탈,Leaves with the supplies
desertion.pride.desc,복종 거부 선언 후 이탈,Declares insubordination and leaves
rampage.wrath.desc,건물 파괴 → 전체 사기 하락,Smashes buildings → all morale drops
rampage.greed.desc,자원 도난 → 폭식 사기 급락,Steals resources → Gluttony morale plummets
rampage.pride.desc,명령 거부 → 분노 사기 급상승(폭주 방향),Refuses orders → Wrath morale surges (toward rampage)
rampage.envy.desc,장비 파괴 → 탐욕 사기 하락,Destroys gear → Greed morale drops
rampage.gluttony.desc,식량 소진 → 전체 사기 하락,Depletes food → all morale drops
rampage.sloth.desc,행동 거부 전염 → 전체 사기 하락,Apathy spreads → all morale drops
rampage.lust.desc,분쟁 유발 → 관련 2명 사기 급상승(폭주 방향),Foments quarrel → 2 heroes' morale surges (toward rampage)
item.tool_hammer.name,건설 망치,Builder's Hammer
item.tool_gloves.name,작업 장갑,Work Gloves
item.tool_axe.name,벌목 도끼,Logging Axe
item.tool_herb_pouch.name,약초 주머니,Herb Pouch
item.tool_glasses.name,학자의 안경,Scholar's Glasses
item.tool_tongs.name,장인의 집게,Master's Tongs
item.tool_distiller.name,증류기,Distiller
item.tool_trap.name,사냥꾼의 덫,Hunter's Trap
item.tool_seal.name,인장 반지,Signet Ring
item.tool_scale.name,상인의 저울,Merchant's Scale
item.tool_letter.name,추천서,Letter of Recommendation
item.tool_shovel.name,개척 삽,Pioneer's Shovel
item.tool_hammer_e.name,정예 건설 망치,Elite Builder's Hammer
item.tool_glasses_e.name,정밀 안경,Precision Glasses
item.weapon_sword.name,철검,Iron Sword
item.weapon_axe.name,전투 도끼,Battle Axe
item.weapon_dagger.name,단검,Dagger
item.weapon_bow.name,사냥활,Hunting Bow
item.weapon_staff.name,마법 지팡이,Magic Staff
item.weapon_sword_e.name,강철검,Steel Sword
item.weapon_greataxe.name,대형 전투도끼,Great Battle Axe
item.weapon_longbow.name,장궁,Longbow
item.armor_heavy.name,중갑,Heavy Armor
item.armor_light.name,경갑,Light Armor
item.armor_robe.name,로브,Robe
item.armor_shield.name,방패,Shield
item.armor_heavy_e.name,정예 중갑,Elite Heavy Armor
item.armor_light_e.name,정예 경갑,Elite Light Armor
item.acc_wrath.name,분노의 부적,Wrath Amulet
item.acc_greed.name,탐욕의 반지,Greed Ring
item.acc_sloth.name,나태의 베개,Sloth Pillow
item.acc_gluttony.name,미식가의 향낭,Gourmet's Sachet
item.acc_envy.name,시기의 거울,Envy Mirror
item.acc_lust.name,매혹의 브로치,Brooch of Allure
item.acc_pride.name,왕관 파편,Crown Shard
item.acc_bond.name,전우의 팔찌,Comrade's Bracelet
item.acc_wrath_e.name,격노의 부적,Fury Amulet
item.acc_pride_e.name,파멸왕의 왕관,Crown of the Ruinlord
item.consumable_heal.name,치료약,Healing Potion
item.consumable_morale.name,사기 물약,Morale Tonic
item.consumable_antidote.name,해독제,Antidote
item.consumable_heal_e.name,고급 치료약,Greater Healing Potion
item.consumable_morale_e.name,고급 사기 물약,Greater Morale Tonic
item.tool_hammer.desc,기본적인 건설 도구,Basic building tool
item.tool_gloves.desc,건설과 개척에 유용한 장갑,Gloves useful for building and pioneering
item.tool_axe.desc,나무를 빠르게 벤다,Fells trees quickly
item.tool_herb_pouch.desc,채집 효율을 높여주는 주머니,Pouch that boosts gathering
item.tool_glasses.desc,연구에 집중할 수 있다,Aids focus during research
item.tool_tongs.desc,대장간 작업 효율 증가,Boosts smithy work
item.tool_distiller.desc,연금술 효율 증가,Boosts alchemy
item.tool_trap.desc,사냥 효율 증가,Boosts hunting
item.tool_seal.desc,외교 시 신뢰를 높인다,Raises trust in diplomacy
item.tool_scale.desc,교역 시 유리한 거래,Favorable trades
item.tool_letter.desc,고용 시 더 좋은 후보,Better recruit candidates
item.tool_shovel.desc,개척 효율 증가,Boosts pioneering
item.tool_hammer_e.desc,숙련 장인의 망치,A master artisan's hammer
item.tool_glasses_e.desc,고급 렌즈로 만든 안경,Glasses with premium lenses
item.weapon_sword.desc,기본적인 검,A basic sword
item.weapon_axe.desc,무겁지만 강력한 도끼,A heavy but powerful axe
item.weapon_dagger.desc,빠르고 치명적인 단검,Fast and lethal
item.weapon_bow.desc,원거리 공격이 가능한 활,Bow for ranged attacks
item.weapon_staff.desc,마법 공격을 강화하는 지팡이,Amplifies magic attacks
item.weapon_sword_e.desc,단련된 강철로 만든 검,Forged from tempered steel
item.weapon_greataxe.desc,파괴적인 양손 도끼,A destructive two-handed axe
item.weapon_longbow.desc,사거리가 긴 활,A long-range bow
item.armor_heavy.desc,단단한 방어구,Sturdy armor
item.armor_light.desc,가벼운 방어구,Light armor
item.armor_robe.desc,학자나 연금술사에게 적합,Suited to scholars and alchemists
item.armor_shield.desc,추가 방어를 제공,Provides extra defense
item.armor_heavy_e.desc,장인이 만든 중갑,Artisan-crafted heavy armor
item.armor_light_e.desc,정밀하게 제작된 경갑,Precisely crafted light armor
item.acc_wrath.desc,[분노] 영웅의 투지를 불태운다,Ignites the fighting spirit of Wrath heroes
item.acc_greed.desc,[탐욕] 영웅의 거래 감각을 높인다,Sharpens trade instincts of Greed heroes
item.acc_sloth.desc,[나태] 영웅의 회복력을 높인다,Boosts recovery of Sloth heroes
item.acc_gluttony.desc,[폭식] 영웅의 채집 본능을 깨운다,Awakens gathering instincts of Gluttony heroes
item.acc_envy.desc,[시기] 영웅의 관찰력을 높인다,Sharpens observation of Envy heroes
item.acc_lust.desc,[색욕] 영웅의 매력을 높인다,Enhances charm of Lust heroes
item.acc_pride.desc,[교만] 영웅의 지휘력을 높인다,Boosts command of Pride heroes
item.acc_bond.desc,방어전에서 결속력을 높인다,Strengthens bonds in defense
item.acc_wrath_e.desc,[분노] 전투 본능을 극대화한다,Maximizes Wrath combat instinct
item.acc_pride_e.desc,[교만] 강력한 지도력을 발휘한다,Exerts formidable Pride leadership
item.consumable_heal.desc,부상을 즉시 회복한다,Heals injuries instantly
item.consumable_morale.desc,사기를 즉시 올려준다,Raises morale instantly
item.consumable_antidote.desc,상태이상을 해제한다,Cures status ailments
item.consumable_heal_e.desc,전투 중에도 사용 가능,Usable even in combat
item.consumable_morale_e.desc,강력한 사기 부양 효과,Powerful morale-lifting effect
item.consumable_heal.special,즉시 부상 회복,Instant injury heal
item.consumable_morale.special,사기+20,Morale+20
item.consumable_antidote.special,상태이상 해제,Cure status
item.consumable_heal_e.special,즉시 부상 회복 + HP 50%,Instant heal + 50% HP
item.consumable_morale_e.special,사기+40,Morale+40
trait.1.name,호전적,Belligerent
trait.2.name,겁쟁이,Coward
trait.3.name,야행성,Nocturnal
trait.4.name,수집광,Collector
trait.5.name,벌목꾼,Logger
trait.6.name,완벽주의자,Perfectionist
trait.7.name,독불장군,Lone Wolf
trait.8.name,사교적,Sociable
trait.9.name,시비꾼,Troublemaker
trait.10.name,의리있는,Loyal
trait.11.name,낙천적,Optimistic
trait.12.name,변덕쟁이,Volatile
trait.13.name,둔감한,Thick-skinned
trait.14.name,예민한,Sensitive
trait.15.name,자비로운,Merciful
trait.16.name,강인한,Tough
trait.17.name,빠른 학습,Fast Learner
trait.18.name,행운아,Lucky
trait.19.name,허약한,Frail
trait.20.name,게으른,Lazy
trait.21.name,유리멘탈,Brittle
trait.22.name,방화광,Pyromaniac
trait.23.name,도벽,Kleptomaniac
trait.24.name,선동가,Demagogue
trait.25.name,뒷공작,Schemer
trait.26.name,탐닉자,Indulger
trait.27.name,집착광,Obsessed
trait.28.name,체념자,Defeatist
trait.29.name,역전의 용사,Veteran
trait.30.name,수호자,Guardian
trait.31.name,채집의 달인,Master Gatherer
trait.32.name,나무꾼,Woodcutter
trait.33.name,연구자,Researcher
trait.34.name,건축가,Architect
trait.35.name,사냥꾼,Hunter
trait.36.name,사교의 달인,Master Socialite
trait.37.name,개심자,Reformed
trait.38.name,타락자,Fallen
trait.39.name,파괴자,Destroyer
trait.40.name,약탈자,Plunderer
trait.41.name,반역자,Rebel
trait.42.name,방해꾼,Saboteur
trait.43.name,탐식가,Devourer
trait.44.name,분쟁꾼,Quarreler
trait.45.name,전염자,Spreader
event.A1.title,주먹다짐,Brawl
event.A2.title,사라진 장비,Missing Gear
event.A3.title,뒷담화,Whispers
event.A4.title,밤의 설교,Night Sermon
event.A5.title,무기력 전염,Apathy Spreads
event.A6.title,야식 사건,Midnight Snack Incident
event.A7.title,집착,Obsession
event.B1.title,"""싸우게 해달라""","""Let Me Fight"""
event.B2.title,"""내 몫을 내놔""","""Give Me My Share"""
event.B3.title,"""쉬게 해줘""","""Let Me Rest"""
event.B4.title,"""나도 인정받고 싶다""","""I Want Recognition Too"""
event.B5.title,"""이런 치욕은 참을 수 없다""","""I Cannot Bear This Shame"""
event.B6.title,"""배가 고프다""","""I Am Hungry"""
event.B7.title,"""함께 보내달라""","""Send Us Together"""
event.C1.title,쓰러진 동료,Fallen Comrade
event.C2.title,무너진 성벽,Breached Wall
event.C3.title,"""원정대가 있었으면...""","""If the Expedition Were Here..."""
event.C4.title,승전 고양,Victory Uplift
event.D1.title,상인 방문,Merchant Visit
event.D2.title,떠도는 영웅,Wandering Hero
event.D3.title,이웃 세력의 전령,Envoy of a Neighbor
event.D4.title,역병 소문,Plague Rumor
event.D5.title,정찰대 보고,Scout Report
event.E1.title,분노의 폭주 — 파괴,Wrath Rampage — Destruction
event.E2.title,시기의 폭주 — 파괴 공작,Envy Rampage — Sabotage
event.E3.title,탐욕의 폭주 — 도주,Greed Rampage — Flight
event.E4.title,나태의 폭주 — 전염,Sloth Rampage — Contagion
event.E5.title,폭식의 폭주 — 폭식,Gluttony Rampage — Devour
event.E6.title,색욕의 폭주 — 분쟁 유발,Lust Rampage — Discord
event.E7.title,교만의 폭주 — 반란,Pride Rampage — Rebellion
event.F1.title,부상당한 순례자,Wounded Pilgrim
event.F2.title,낡은 제단,Ancient Altar
event.F3.title,버려진 보물상자,Abandoned Chest
